time	motion	power_consumption	acoustic_pressure_dB	door_opening	label
2015-05-05 12:30:00	1.000000	3.000000	0.022738	0.131526	1.000000
2015-05-05 13:00:00	2.000000	2.000000	0.026855	0.173103	1.000000
2015-05-05 13:30:00	3.000000	1.000000	0.035595	0.422570	3.000000
2015-05-05 14:00:00	5.000000	2.000000	0.036332	0.000000	3.000000
2015-05-05 14:30:00	3.000000	1.000000	0.038204	0.002899	2.000000
2015-05-05 15:00:00	2.000000	1.000000	0.018126	0.001798	2.000000
2015-05-05 15:30:00	2.000000	2.000000	0.017803	0.085296	3.000000
2015-05-05 16:00:00	1.000000	2.000000	0.019957	0.006635	2.000000
2015-05-05 16:30:00	4.000000	1.000000	0.024004	0.292683	1.000000
2015-05-05 17:00:00	4.000000	2.000000	0.034989	0.199668	2.000000
2015-05-05 17:30:00	7.000000	2.000000	0.023113	0.002745	1.000000
2015-05-05 18:00:00	8.000000	2.000000	0.036275	0.000000	2.000000
2015-05-05 18:30:00	8.000000	2.000000	0.036608	0.052593	2.000000
2015-05-05 19:00:00	1.000000	0.000000	0.002661	0.004433	1.000000
2015-05-05 19:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 20:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 20:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 21:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 21:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 22:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 22:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 23:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-05 23:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 00:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 00:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 01:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 01:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 02:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 02:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 03:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 03:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 04:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 04:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 05:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 05:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 06:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 06:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 07:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 07:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 08:00:00	2.000000	0.000000	0.001000	0.109832	0.000000
2015-05-06 08:30:00	2.000000	1.000000	0.009945	0.223675	1.000000
2015-05-06 09:00:00	12.000000	2.000000	0.023215	0.050017	1.000000
2015-05-06 09:30:00	5.000000	2.000000	0.037840	0.067688	3.000000
2015-05-06 10:00:00	0.000000	4.000000	0.038273	0.131878	4.000000
2015-05-06 10:30:00	4.000000	4.000000	0.036214	1.000000	4.000000
2015-05-06 11:00:00	5.000000	4.000000	0.030513	1.000000	4.000000
2015-05-06 11:30:00	4.000000	4.000000	0.036285	1.000000	4.000000
2015-05-06 12:00:00	6.000000	4.000000	0.039744	1.000000	4.000000
2015-05-06 12:30:00	9.000000	3.000000	0.038823	1.000000	2.000000
2015-05-06 13:00:00	12.000000	3.000000	0.026320	0.807957	2.000000
2015-05-06 13:30:00	3.000000	2.000000	0.017097	0.034910	1.000000
2015-05-06 14:00:00	1.000000	3.000000	0.022564	0.001759	1.000000
2015-05-06 14:30:00	8.000000	3.000000	0.036508	0.160025	3.000000
2015-05-06 15:00:00	3.000000	2.000000	0.016141	0.004234	1.000000
2015-05-06 15:30:00	7.000000	3.000000	0.041343	0.007006	1.000000
2015-05-06 16:00:00	4.000000	3.000000	0.053467	0.000000	1.000000
2015-05-06 16:30:00	4.000000	1.000000	0.029967	0.005281	3.000000
2015-05-06 17:00:00	11.000000	1.000000	0.015497	0.091229	2.000000
2015-05-06 17:30:00	10.000000	1.000000	0.026417	0.027542	1.000000
2015-05-06 18:00:00	6.000000	2.000000	0.055106	0.207951	1.000000
2015-05-06 18:30:00	11.000000	2.000000	0.016525	0.009669	2.000000
2015-05-06 19:00:00	8.000000	2.000000	0.022141	0.307136	2.000000
2015-05-06 19:30:00	10.000000	1.000000	0.013955	0.015824	1.000000
2015-05-06 20:00:00	2.000000	0.000000	0.001687	0.002058	1.000000
2015-05-06 20:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 21:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 21:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 22:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 22:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 23:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-06 23:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 00:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 00:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 01:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-07 01:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
